Timestamp,BBox_X,BBox_Y,BBox_Width,BBox_Height,Center_X,Center_Y,Latency(ms)
2025-04-16 15:38:16,1054,243,165,165,1136,325,56.42
2025-04-16 15:38:16,1054,243,165,165,1136,325,25.02
2025-04-16 15:38:16,1054,243,165,165,1136,325,30.26
2025-04-16 15:38:16,1054,243,165,165,1136,325,31.09
2025-04-16 15:38:16,1054,243,165,165,1136,325,30.74
2025-04-16 15:38:16,1054,243,165,165,1136,325,30.18
2025-04-16 15:38:16,1054,243,165,165,1136,325,27.26
2025-04-16 15:38:16,1054,243,165,165,1136,325,29.13
2025-04-16 15:38:16,1054,243,165,165,1136,325,36.58
2025-04-16 15:38:16,1054,243,165,165,1136,325,30.18
2025-04-16 15:38:16,1054,243,165,165,1136,325,28.94
2025-04-16 15:38:17,1054,243,165,165,1136,325,30.69
2025-04-16 15:38:17,1054,243,165,165,1136,325,28.85
2025-04-16 15:38:17,1054,243,165,165,1136,325,31.63
2025-04-16 15:38:17,1054,243,165,165,1136,325,27.44
2025-04-16 15:38:17,1054,243,165,165,1136,325,28.41
2025-04-16 15:38:17,1054,243,165,165,1136,325,28.53
2025-04-16 15:38:17,1054,243,165,165,1136,325,26.34
2025-04-16 15:38:17,1054,243,165,165,1136,325,31.78
2025-04-16 15:38:17,1054,243,165,165,1136,325,25.42
2025-04-16 15:38:17,1054,243,165,165,1136,325,27.78
2025-04-16 15:38:17,1054,243,165,165,1136,325,28.49
2025-04-16 15:38:17,1054,243,165,165,1136,325,28.66
2025-04-16 15:38:18,1054,243,165,165,1136,325,28.35
2025-04-16 15:38:18,1054,243,165,165,1136,325,28.38
2025-04-16 15:38:18,1054,243,165,165,1136,325,27.37
2025-04-16 15:38:18,1054,243,165,165,1136,325,35.98
2025-04-16 15:38:18,1054,243,165,165,1136,325,27.09
2025-04-16 15:38:18,1054,243,165,165,1136,325,28.83
2025-04-16 15:38:18,1054,243,165,165,1136,325,29.42
2025-04-16 15:38:18,1054,243,165,165,1136,325,28.82
2025-04-16 15:38:18,1054,243,165,165,1136,325,29.36
2025-04-16 15:38:18,1054,243,165,165,1136,325,29.24
2025-04-16 15:38:18,1054,243,165,165,1136,325,28.89
2025-04-16 15:38:18,1054,243,165,165,1136,325,26.15
2025-04-16 15:38:19,1054,243,165,165,1136,325,27.66
2025-04-16 15:38:19,1054,243,165,165,1136,325,28.19
2025-04-16 15:38:19,1054,243,165,165,1136,325,29.78
2025-04-16 15:38:19,1054,243,165,165,1136,325,34.90
