Timestamp,BBox_X,BBox_Y,BBox_Width,BBox_Height,Center_X,Center_Y,Latency(ms)
2025-04-16 15:22:42,1171,596,84,84,1213,638,16.46
2025-04-16 15:22:42,1171,596,84,84,1213,638,19.74
2025-04-16 15:22:42,1171,596,84,84,1213,638,30.82
2025-04-16 15:22:42,1171,596,84,84,1213,638,30.43
2025-04-16 15:22:42,1171,596,84,84,1213,638,30.69
2025-04-16 15:22:42,1171,596,84,84,1213,638,30.98
2025-04-16 15:22:42,1171,596,84,84,1213,638,31.10
2025-04-16 15:22:42,1171,596,84,84,1213,638,31.21
2025-04-16 15:22:42,1171,596,84,84,1213,638,30.17
2025-04-16 15:22:42,1171,596,84,84,1213,638,31.05
2025-04-16 15:22:43,1171,596,84,84,1213,638,32.17
2025-04-16 15:22:43,1171,596,84,84,1213,638,29.70
2025-04-16 15:22:43,1171,596,84,84,1213,638,31.19
2025-04-16 15:22:43,1171,596,84,84,1213,638,28.83
2025-04-16 15:22:43,1171,596,84,84,1213,638,29.85
2025-04-16 15:22:43,1171,596,84,84,1213,638,29.29
2025-04-16 15:22:43,1171,596,84,84,1213,638,27.75
2025-04-16 15:22:43,1171,596,84,84,1213,638,29.06
2025-04-16 15:22:43,1171,596,84,84,1213,638,29.83
2025-04-16 15:22:43,1171,596,84,84,1213,638,29.03
2025-04-16 15:22:43,1171,596,84,84,1213,638,29.35
2025-04-16 15:22:43,1171,596,84,84,1213,638,28.94
2025-04-16 15:22:44,1171,596,84,84,1213,638,31.38
2025-04-16 15:22:44,1171,596,84,84,1213,638,30.35
2025-04-16 15:22:44,1171,596,84,84,1213,638,29.86
2025-04-16 15:22:44,1171,596,84,84,1213,638,28.05
2025-04-16 15:22:44,1171,596,84,84,1213,638,28.77
2025-04-16 15:22:44,1171,596,84,84,1213,638,30.39
2025-04-16 15:22:44,1171,596,84,84,1213,638,28.89
2025-04-16 15:22:44,1171,596,84,84,1213,638,28.90
2025-04-16 15:22:44,1171,596,84,84,1213,638,26.17
2025-04-16 15:22:44,1171,596,84,84,1213,638,28.21
2025-04-16 15:22:44,1171,596,84,84,1213,638,29.24
2025-04-16 15:22:44,1171,596,84,84,1213,638,29.03
2025-04-16 15:22:45,1171,596,84,84,1213,638,31.05
2025-04-16 15:22:45,1171,596,84,84,1213,638,28.16
2025-04-16 15:22:45,1171,596,84,84,1213,638,26.85
2025-04-16 15:22:45,1171,596,84,84,1213,638,30.40
2025-04-16 15:22:45,1171,596,84,84,1213,638,28.80
2025-04-16 15:22:45,1171,596,84,84,1213,638,27.44
2025-04-16 15:22:45,1171,596,84,84,1213,638,28.29
2025-04-16 15:22:45,1171,596,84,84,1213,638,27.60
2025-04-16 15:22:45,1171,596,84,84,1213,638,29.14
2025-04-16 15:22:45,1171,596,84,84,1213,638,29.69
2025-04-16 15:22:45,1171,596,84,84,1213,638,29.45
2025-04-16 15:22:45,1171,596,84,84,1213,638,29.87
2025-04-16 15:22:46,1171,596,84,84,1213,638,30.98
2025-04-16 15:22:46,1171,596,84,84,1213,638,30.94
2025-04-16 15:22:46,1171,596,84,84,1213,638,28.16
2025-04-16 15:22:46,1171,596,84,84,1213,638,28.50
2025-04-16 15:22:46,1171,596,84,84,1213,638,30.01
2025-04-16 15:22:46,1171,596,84,84,1213,638,29.31
2025-04-16 15:22:46,1171,596,84,84,1213,638,29.31
2025-04-16 15:22:46,1171,596,84,84,1213,638,28.28
