Timestamp,BBox_X,BBox_Y,BBox_Width,BBox_Height,Latency(ms)
2025-04-16 14:16:17,798,392,242,147,10.62
2025-04-16 14:16:17,798,392,242,147,10.43
2025-04-16 14:16:17,798,392,242,147,11.20
2025-04-16 14:16:17,798,392,242,147,10.68
2025-04-16 14:16:17,798,392,242,147,11.05
2025-04-16 14:16:17,798,392,242,147,11.90
2025-04-16 14:16:17,798,392,242,147,10.70
2025-04-16 14:16:17,798,392,242,147,11.82
2025-04-16 14:16:17,798,392,242,147,11.72
2025-04-16 14:16:18,798,392,242,147,11.36
2025-04-16 14:16:18,798,392,242,147,11.18
2025-04-16 14:16:18,798,392,242,147,11.93
2025-04-16 14:16:18,798,392,242,147,11.42
2025-04-16 14:16:18,798,392,242,147,10.38
2025-04-16 14:16:18,798,392,242,147,11.56
2025-04-16 14:16:18,798,392,242,147,11.42
2025-04-16 14:16:18,798,392,242,147,11.54
2025-04-16 14:16:18,798,392,242,147,11.51
2025-04-16 14:16:18,798,392,242,147,9.89
2025-04-16 14:16:18,798,392,242,147,11.23
2025-04-16 14:16:18,798,392,242,147,11.50
2025-04-16 14:16:18,798,392,242,147,10.86
2025-04-16 14:16:18,798,392,242,147,12.08
2025-04-16 14:16:18,798,392,242,147,9.97
2025-04-16 14:16:18,798,392,242,147,11.47
2025-04-16 14:16:18,798,392,242,147,9.51
2025-04-16 14:16:18,798,392,242,147,13.61
2025-04-16 14:16:18,798,392,242,147,12.39
2025-04-16 14:16:18,798,392,242,147,10.72
2025-04-16 14:16:18,798,392,242,147,11.42
2025-04-16 14:16:18,798,392,242,147,11.56
2025-04-16 14:16:18,798,392,242,147,11.31
2025-04-16 14:16:18,798,392,242,147,10.98
2025-04-16 14:16:18,798,392,242,147,11.00
2025-04-16 14:16:19,798,392,242,147,10.83
2025-04-16 14:16:19,798,392,242,147,11.81
2025-04-16 14:16:19,798,392,242,147,10.87
2025-04-16 14:16:19,798,392,242,147,11.46
2025-04-16 14:16:19,798,392,242,147,10.90
2025-04-16 14:16:19,798,392,242,147,10.33
2025-04-16 14:16:19,798,392,242,147,11.22
2025-04-16 14:16:19,798,392,242,147,10.75
2025-04-16 14:16:19,798,392,242,147,11.59
2025-04-16 14:16:19,798,392,242,147,10.22
2025-04-16 14:16:19,798,392,242,147,11.12
2025-04-16 14:16:19,798,392,242,147,11.42
2025-04-16 14:16:19,798,392,242,147,10.51
2025-04-16 14:16:19,798,392,242,147,10.51
2025-04-16 14:16:19,798,392,242,147,11.73
2025-04-16 14:16:19,798,392,242,147,11.35
2025-04-16 14:16:19,798,392,242,147,11.82
2025-04-16 14:16:19,798,392,242,147,10.16
2025-04-16 14:16:19,798,392,242,147,11.80
2025-04-16 14:16:19,798,392,242,147,10.45
2025-04-16 14:16:19,798,392,242,147,11.14
2025-04-16 14:16:19,798,392,242,147,11.25
2025-04-16 14:16:19,798,392,242,147,10.90
2025-04-16 14:16:19,798,392,242,147,11.02
2025-04-16 14:16:20,798,392,242,147,11.58
2025-04-16 14:16:20,798,392,242,147,51.61
2025-04-16 14:16:20,798,392,242,147,9.01
2025-04-16 14:16:20,798,392,242,147,10.45
2025-04-16 14:16:20,798,392,242,147,11.41
2025-04-16 14:16:20,798,392,242,147,10.63
2025-04-16 14:16:20,798,392,242,147,11.69
2025-04-16 14:16:20,798,392,242,147,11.69
2025-04-16 14:16:20,798,392,242,147,11.07
2025-04-16 14:16:20,798,392,242,147,11.22
2025-04-16 14:16:20,798,392,242,147,10.66
2025-04-16 14:16:20,798,392,242,147,10.74
2025-04-16 14:16:20,798,392,242,147,13.84
2025-04-16 14:16:20,798,392,242,147,13.33
2025-04-16 14:16:20,798,392,242,147,12.58
2025-04-16 14:16:20,798,392,242,147,12.61
2025-04-16 14:16:20,798,392,242,147,10.97
2025-04-16 14:16:20,798,392,242,147,10.97
2025-04-16 14:16:20,798,392,242,147,11.17
2025-04-16 14:16:20,798,392,242,147,11.74
2025-04-16 14:16:20,798,392,242,147,11.12
2025-04-16 14:16:20,798,392,242,147,10.66
2025-04-16 14:16:20,798,392,242,147,12.26
2025-04-16 14:16:21,798,392,242,147,11.89
2025-04-16 14:16:21,798,392,242,147,10.91
2025-04-16 14:16:21,798,392,242,147,10.21
2025-04-16 14:16:21,798,392,242,147,11.72
2025-04-16 14:16:21,798,392,242,147,11.49
2025-04-16 14:16:21,798,392,242,147,12.54
2025-04-16 14:16:21,798,392,242,147,14.11
2025-04-16 14:16:21,798,392,242,147,12.98
2025-04-16 14:16:21,798,392,242,147,12.08
2025-04-16 14:16:21,798,392,242,147,11.98
2025-04-16 14:16:21,798,392,242,147,11.05
2025-04-16 14:16:21,798,392,242,147,11.83
2025-04-16 14:16:21,798,392,242,147,10.74
2025-04-16 14:16:21,798,392,242,147,12.05
2025-04-16 14:16:21,798,392,242,147,11.13
2025-04-16 14:16:21,798,392,242,147,11.96
2025-04-16 14:16:21,798,392,242,147,11.40
2025-04-16 14:16:21,798,392,242,147,11.11
2025-04-16 14:16:21,798,392,242,147,10.72
2025-04-16 14:16:21,798,392,242,147,12.38
2025-04-16 14:16:21,798,392,242,147,11.29
2025-04-16 14:16:21,798,392,242,147,11.28
2025-04-16 14:16:21,798,392,242,147,11.27
2025-04-16 14:16:21,798,392,242,147,11.33
2025-04-16 14:16:21,798,392,242,147,10.83
2025-04-16 14:16:22,798,392,242,147,11.95
2025-04-16 14:16:22,798,392,242,147,11.83
2025-04-16 14:16:22,798,392,242,147,10.72
2025-04-16 14:16:22,798,392,242,147,11.23
2025-04-16 14:16:22,798,392,242,147,11.00
2025-04-16 14:16:22,798,392,242,147,10.04
2025-04-16 14:16:22,798,392,242,147,14.67
2025-04-16 14:16:22,798,392,242,147,9.75
2025-04-16 14:16:22,798,392,242,147,11.42
2025-04-16 14:16:22,798,392,242,147,10.97
2025-04-16 14:16:22,798,392,242,147,12.11
2025-04-16 14:16:22,798,392,242,147,11.65
2025-04-16 14:16:22,798,392,242,147,10.68
2025-04-16 14:16:22,798,392,242,147,11.64
2025-04-16 14:16:22,798,392,242,147,11.82
2025-04-16 14:16:22,798,392,242,147,11.50
2025-04-16 14:16:22,798,392,242,147,11.63
2025-04-16 14:16:22,798,392,242,147,10.64
2025-04-16 14:16:22,798,392,242,147,11.81
2025-04-16 14:16:22,798,392,242,147,51.50
2025-04-16 14:16:22,798,392,242,147,8.87
2025-04-16 14:16:22,798,392,242,147,11.10
2025-04-16 14:16:22,798,392,242,147,10.52
2025-04-16 14:16:23,798,392,242,147,11.04
2025-04-16 14:16:23,798,392,242,147,11.49
2025-04-16 14:16:23,798,392,242,147,10.68
2025-04-16 14:16:23,798,392,242,147,12.41
2025-04-16 14:16:23,798,392,242,147,10.55
2025-04-16 14:16:23,798,392,242,147,11.60
2025-04-16 14:16:23,798,392,242,147,12.21
2025-04-16 14:16:23,798,392,242,147,11.31
2025-04-16 14:16:23,798,392,242,147,11.09
2025-04-16 14:16:23,798,392,242,147,11.69
2025-04-16 14:16:23,798,392,242,147,11.67
2025-04-16 14:16:23,798,392,242,147,11.50
2025-04-16 14:16:23,798,392,242,147,11.31
2025-04-16 14:16:23,798,392,242,147,11.93
2025-04-16 14:16:23,798,392,242,147,10.51
2025-04-16 14:16:23,798,392,242,147,11.19
2025-04-16 14:16:23,798,392,242,147,11.17
2025-04-16 14:16:23,798,392,242,147,14.02
2025-04-16 14:16:23,798,392,242,147,12.41
2025-04-16 14:16:23,798,392,242,147,10.51
2025-04-16 14:16:23,798,392,242,147,10.92
2025-04-16 14:16:23,798,392,242,147,12.29
2025-04-16 14:16:23,798,392,242,147,10.83
2025-04-16 14:16:23,798,392,242,147,12.00
2025-04-16 14:16:23,798,392,242,147,10.83
2025-04-16 14:16:24,798,392,242,147,11.01
2025-04-16 14:16:24,798,392,242,147,11.48
2025-04-16 14:16:24,798,392,242,147,11.05
2025-04-16 14:16:24,798,392,242,147,11.69
2025-04-16 14:16:24,798,392,242,147,11.14
2025-04-16 14:16:24,798,392,242,147,11.32
2025-04-16 14:16:24,798,392,242,147,11.83
2025-04-16 14:16:24,798,392,242,147,10.92
2025-04-16 14:16:24,798,392,242,147,11.63
2025-04-16 14:16:24,798,392,242,147,10.33
2025-04-16 14:16:24,798,392,242,147,11.96
2025-04-16 14:16:24,798,392,242,147,11.99
2025-04-16 14:16:24,798,392,242,147,11.52
2025-04-16 14:16:24,798,392,242,147,11.59
2025-04-16 14:16:24,798,392,242,147,10.23
2025-04-16 14:16:24,798,392,242,147,13.72
2025-04-16 14:16:24,798,392,242,147,11.06
2025-04-16 14:16:24,798,392,242,147,11.42
2025-04-16 14:16:24,798,392,242,147,12.62
2025-04-16 14:16:24,798,392,242,147,12.52
2025-04-16 14:16:24,798,392,242,147,14.25
2025-04-16 14:16:24,798,392,242,147,11.65
2025-04-16 14:16:24,798,392,242,147,14.14
2025-04-16 14:16:24,798,392,242,147,12.42
2025-04-16 14:16:25,798,392,242,147,12.86
2025-04-16 14:16:25,798,392,242,147,11.68
2025-04-16 14:16:25,798,392,242,147,15.04
2025-04-16 14:16:25,798,392,242,147,13.34
2025-04-16 14:16:25,798,392,242,147,13.42
2025-04-16 14:16:25,798,392,242,147,12.58
2025-04-16 14:16:25,798,392,242,147,14.41
2025-04-16 14:16:25,798,392,242,147,15.08
2025-04-16 14:16:25,798,392,242,147,12.89
2025-04-16 14:16:25,798,392,242,147,13.48
2025-04-16 14:16:25,798,392,242,147,12.97
2025-04-16 14:16:25,798,392,242,147,13.04
2025-04-16 14:16:25,798,392,242,147,13.79
2025-04-16 14:16:25,798,392,242,147,51.54
2025-04-16 14:16:25,798,392,242,147,9.70
2025-04-16 14:16:25,798,392,242,147,9.82
2025-04-16 14:16:25,798,392,242,147,11.17
2025-04-16 14:16:25,798,392,242,147,11.41
2025-04-16 14:16:25,798,392,242,147,11.05
2025-04-16 14:16:25,798,392,242,147,11.14
2025-04-16 14:16:25,798,392,242,147,10.61
2025-04-16 14:16:25,798,392,242,147,11.22
2025-04-16 14:16:25,798,392,242,147,11.87
2025-04-16 14:16:26,798,392,242,147,11.16
2025-04-16 14:16:26,798,392,242,147,12.22
2025-04-16 14:16:26,798,392,242,147,10.14
2025-04-16 14:16:26,798,392,242,147,11.27
2025-04-16 14:16:26,798,392,242,147,12.95
2025-04-16 14:16:26,798,392,242,147,11.02
2025-04-16 14:16:26,798,392,242,147,11.72
2025-04-16 14:16:26,798,392,242,147,10.72
