Timestamp,BBox_X,BBox_Y,BBox_Width,BBox_Height,Center_X,Center_Y,Latency(ms)
2025-04-18 10:44:31,1102,441,134,134,1169,508,33.97
2025-04-18 10:44:31,1102,441,134,134,1169,508,18.88
2025-04-18 10:44:31,1102,441,134,134,1169,508,28.28
2025-04-18 10:44:31,1102,441,134,134,1169,508,25.91
2025-04-18 10:44:31,1102,441,134,134,1169,508,68.67
2025-04-18 10:44:31,1102,441,134,134,1169,508,27.25
2025-04-18 10:44:31,1102,441,134,134,1169,508,34.50
2025-04-18 10:44:31,1102,441,134,134,1169,508,18.39
2025-04-18 10:44:31,1102,441,134,134,1169,508,25.74
2025-04-18 10:44:31,1102,441,134,134,1169,508,26.85
2025-04-18 10:44:31,1102,441,134,134,1169,508,27.10
2025-04-18 10:44:32,1102,441,134,134,1169,508,28.55
2025-04-18 10:44:32,1102,441,134,134,1169,508,27.83
2025-04-18 10:44:32,1102,441,134,134,1169,508,27.72
2025-04-18 10:44:32,1102,441,134,134,1169,508,25.16
2025-04-18 10:44:32,1102,441,134,134,1169,508,27.88
2025-04-18 10:44:32,1102,441,134,134,1169,508,26.92
2025-04-18 10:44:32,1102,441,134,134,1169,508,28.96
2025-04-18 10:44:32,1102,441,134,134,1169,508,27.68
2025-04-18 10:44:32,1102,441,134,134,1169,508,25.47
2025-04-18 10:44:32,1102,441,134,134,1169,508,27.08
2025-04-18 10:44:32,1102,441,134,134,1169,508,26.82
2025-04-18 10:44:32,1102,441,134,134,1169,508,26.93
2025-04-18 10:44:32,1102,441,134,134,1169,508,28.59
2025-04-18 10:44:33,1102,441,134,134,1169,508,29.60
2025-04-18 10:44:33,1102,441,134,134,1169,508,25.86
2025-04-18 10:44:33,1102,441,134,134,1169,508,27.27
2025-04-18 10:44:33,1102,441,134,134,1169,508,28.93
2025-04-18 10:44:33,1102,441,134,134,1169,508,26.55
2025-04-18 10:44:33,1102,441,134,134,1169,508,26.14
2025-04-18 10:44:33,1102,441,134,134,1169,508,28.16
2025-04-18 10:44:33,1102,441,134,134,1169,508,29.19
2025-04-18 10:44:33,1102,441,134,134,1169,508,26.68
2025-04-18 10:44:33,1102,441,134,134,1169,508,25.02
2025-04-18 10:44:33,1102,441,134,134,1169,508,28.45
2025-04-18 10:44:33,1102,441,134,134,1169,508,32.93
2025-04-18 10:44:34,1102,441,134,134,1169,508,24.04
2025-04-18 10:44:34,1102,441,134,134,1169,508,23.90
2025-04-18 10:44:34,1102,441,134,134,1169,508,25.22
2025-04-18 10:44:34,1102,441,134,134,1169,508,24.85
2025-04-18 10:44:34,1102,441,134,134,1169,508,24.83
2025-04-18 10:44:34,1102,441,134,134,1169,508,68.98
2025-04-18 10:44:34,1102,441,134,134,1169,508,24.63
2025-04-18 10:44:34,1102,441,134,134,1169,508,26.13
2025-04-18 10:44:34,1102,441,134,134,1169,508,27.56
2025-04-18 10:44:34,1102,441,134,134,1169,508,26.97
2025-04-18 10:44:34,1102,441,134,134,1169,508,27.35
2025-04-18 10:44:34,1102,441,134,134,1169,508,27.18
2025-04-18 10:44:35,1102,441,134,134,1169,508,29.07
2025-04-18 10:44:35,1102,441,134,134,1169,508,26.16
2025-04-18 10:44:35,1102,441,134,134,1169,508,28.78
2025-04-18 10:44:35,1102,441,134,134,1169,508,29.32
2025-04-18 10:44:35,1102,441,134,134,1169,508,25.67
2025-04-18 10:44:35,1102,441,134,134,1169,508,25.35
2025-04-18 10:44:35,1102,441,134,134,1169,508,24.58
2025-04-18 10:44:35,1102,441,134,134,1169,508,29.41
2025-04-18 10:44:35,1102,441,134,134,1169,508,29.21
2025-04-18 10:44:35,1102,441,134,134,1169,508,23.95
2025-04-18 10:44:35,1102,441,134,134,1169,508,20.71
2025-04-18 10:44:35,1102,441,134,134,1169,508,30.81
2025-04-18 10:44:36,1102,441,134,134,1169,508,28.00
2025-04-18 10:44:36,1102,441,134,134,1169,508,28.12
2025-04-18 10:44:36,1102,441,134,134,1169,508,28.30
2025-04-18 10:44:36,1102,441,134,134,1169,508,25.92
2025-04-18 10:44:36,1102,441,134,134,1169,508,27.49
2025-04-18 10:44:36,1102,441,134,134,1169,508,25.68
2025-04-18 10:44:36,1102,441,134,134,1169,508,28.36
2025-04-18 10:44:36,1102,441,134,134,1169,508,28.86
2025-04-18 10:44:36,1102,441,134,134,1169,508,25.71
2025-04-18 10:44:36,1102,441,134,134,1169,508,25.54
2025-04-18 10:44:36,1102,441,134,134,1169,508,25.88
2025-04-18 10:44:36,1102,441,134,134,1169,508,34.99
2025-04-18 10:44:37,1102,441,134,134,1169,508,24.69
2025-04-18 10:44:37,1102,441,134,134,1169,508,24.17
2025-04-18 10:44:37,1102,441,134,134,1169,508,26.07
2025-04-18 10:44:37,1102,441,134,134,1169,508,25.13
2025-04-18 10:44:37,1102,441,134,134,1169,508,25.66
2025-04-18 10:44:37,1102,441,134,134,1169,508,22.79
2025-04-18 10:44:37,1102,441,134,134,1169,508,25.38
2025-04-18 10:44:37,1102,441,134,134,1169,508,25.05
2025-04-18 10:44:37,1102,441,134,134,1169,508,25.01
2025-04-18 10:44:37,1102,441,134,134,1169,508,26.45
2025-04-18 10:44:37,1102,441,134,134,1169,508,22.02
2025-04-18 10:44:37,1102,441,134,134,1169,508,33.68
2025-04-18 10:44:38,1102,441,134,134,1169,508,25.31
2025-04-18 10:44:38,1102,441,134,134,1169,508,26.77
2025-04-18 10:44:38,1102,441,134,134,1169,508,28.28
2025-04-18 10:44:38,1102,441,134,134,1169,508,26.37
2025-04-18 10:44:38,1102,441,134,134,1169,508,21.27
2025-04-18 10:44:38,1102,441,134,134,1169,508,27.72
2025-04-18 10:44:38,1102,441,134,134,1169,508,22.18
2025-04-18 10:44:38,1102,441,134,134,1169,508,26.07
2025-04-18 10:44:38,1102,441,134,134,1169,508,24.44
2025-04-18 10:44:38,1102,441,134,134,1169,508,26.17
2025-04-18 10:44:38,1102,441,134,134,1169,508,25.08
2025-04-18 10:44:38,1102,441,134,134,1169,508,31.81
2025-04-18 10:44:39,1102,441,134,134,1169,508,25.38
2025-04-18 10:44:39,1102,441,134,134,1169,508,26.91
2025-04-18 10:44:39,1102,441,134,134,1169,508,21.49
2025-04-18 10:44:39,1102,441,134,134,1169,508,26.64
2025-04-18 10:44:39,1102,441,134,134,1169,508,23.38
2025-04-18 10:44:39,1102,441,134,134,1169,508,27.88
2025-04-18 10:44:39,1102,441,134,134,1169,508,27.32
2025-04-18 10:44:39,1102,441,134,134,1169,508,28.08
2025-04-18 10:44:39,1102,441,134,134,1169,508,25.10
2025-04-18 10:44:39,1102,441,134,134,1169,508,26.35
2025-04-18 10:44:39,1102,441,134,134,1169,508,27.22
2025-04-18 10:44:39,1102,441,134,134,1169,508,29.20
2025-04-18 10:44:40,1102,441,134,134,1169,508,27.10
2025-04-18 10:44:40,1102,441,134,134,1169,508,24.48
2025-04-18 10:44:40,1102,441,134,134,1169,508,25.53
2025-04-18 10:44:40,1102,441,134,134,1169,508,24.20
2025-04-18 10:44:40,1102,441,134,134,1169,508,26.72
2025-04-18 10:44:40,1102,441,134,134,1169,508,27.29
2025-04-18 10:44:40,1102,441,134,134,1169,508,26.40
2025-04-18 10:44:40,1102,441,134,134,1169,508,25.38
2025-04-18 10:44:40,1102,441,134,134,1169,508,66.02
2025-04-18 10:44:40,1102,441,134,134,1169,508,26.46
2025-04-18 10:44:40,1102,441,134,134,1169,508,24.35
2025-04-18 10:44:40,1102,441,134,134,1169,508,28.87
2025-04-18 10:44:41,1102,441,134,134,1169,508,25.35
2025-04-18 10:44:41,1102,441,134,134,1169,508,27.31
2025-04-18 10:44:41,1102,441,134,134,1169,508,27.09
2025-04-18 10:44:41,1102,441,134,134,1169,508,27.52
2025-04-18 10:44:41,1102,441,134,134,1169,508,28.42
2025-04-18 10:44:41,1102,441,134,134,1169,508,23.75
2025-04-18 10:44:41,1102,441,134,134,1169,508,26.35
2025-04-18 10:44:41,1102,441,134,134,1169,508,26.72
2025-04-18 10:44:41,1102,441,134,134,1169,508,25.78
2025-04-18 10:44:41,1102,441,134,134,1169,508,25.12
2025-04-18 10:44:41,1102,441,134,134,1169,508,24.89
2025-04-18 10:44:41,1102,441,134,134,1169,508,29.00
2025-04-18 10:44:42,1102,441,134,134,1169,508,26.35
2025-04-18 10:44:42,1102,441,134,134,1169,508,27.15
2025-04-18 10:44:42,1102,441,134,134,1169,508,25.14
2025-04-18 10:44:42,1102,441,134,134,1169,508,26.69
2025-04-18 10:44:42,1102,441,134,134,1169,508,25.56
